#-------------------------------------------------------------------------------
#
#
#           ********************************************************
#           *                                                      *
#           *    Full-Potential Multiple Scattering Theory Based   *
#           *                                                      *
#           *  Ab Initio Electronic Structure Calculation Package  *
#           *                                                      *
#           ********************************************************
#
#
#   username                 : ywg
#   system name              : bolt.psc.edu
#   code compiled            : Thursday, February 13 2020 13:49:32
#   MuST source code version : Develop
#-------------------------------------------------------------------------------
# Potential Type          : Muffin-Tin
# Single Site Solver: Spherical
# MST Method        : LSMS
# Spin Parameter    : Non-Collinear -  3
# Number of Atoms         :      2
# Bravais Lattice Vector  :
#         5.42000000   0.00000000   0.00000000
#         0.00000000   5.42000000   0.00000000
#         0.00000000   0.00000000   5.42000000
# Energy Offset           :   -2522
# Column Legend :    31
#         1. Type
#         2. Index
#         3. Position-X
#         4. Position-Y
#         5. Position-Z
#         6. Force-X
#         7. Force-Y
#         8. Force-Z
#         9. EvecIn-X
#        10. EvecIn-Y
#        11. EvecIn-Z
#        12. EvecOut-X
#        13. EvecOut-Y
#        14. EvecOut-Z
#        15. Bcon-X
#        16. Bcon-Y
#        17. Bcon-Z
#        18. Volume - MT
#        19. Volume - VP
#        20. LIZ Size
#        21. Energy
#        22. Exc_energy
#        23. Pressure
#        24. Charge-MT
#        25. Charge-VP
#        26. Moment-MT
#        27. Moment-VP
#        28. RMS-Charge
#        29. RMS-Potential
#        30. RMS-Evec
#        31. RMS-Bcon
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Type  Indx      X          Y          Z       Force-X    Force-Y    Force-Z    EvecIn-X   EvecIn-Y   EvecIn-Z  EvecOut-X  EvecOut-Y  EvecOut-Z    Bcon-X     Bcon-Y     Bcon-Z     Vol-MT     Vol-VP   LIZ  Energy           Exch_energy      Pressure      Charge-MT  Charge-VP   Moment-MT  Moment-VP RMS-Rho   RMS-Pot  RMS-Evec  RMS-Bcon 
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# ****************************************************
# SCF Iteration:    2
# S-D Time Step:    1
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   1.000000   0.000000   0.000000   1.000000  -0.285822   0.000000   0.041415  54.148743  79.610044   64 -0.810846202E+00   0.000000 -0.116819661E+00  25.013557   8.000066   2.334000   2.347461  0.11E-03  0.89E-02  0.14E+00  0.14E+00
 Fe        2   2.710000   2.710000   2.710000   0.000000   0.000000   0.000000   0.999894   0.000000   0.014555   0.999582   0.000000   0.028902   0.000000   0.000000   0.000000  54.148743  79.610044   64 -0.810798901E+00   0.000000 -0.118101265E+00  25.013427   7.999934   2.338844   2.347690  0.11E-03  0.89E-02  0.14E-01  0.00E+00
# ****************************************************
# SCF Iteration:    4
# S-D Time Step:    1
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   1.000000   0.000000   0.000000   1.000000  -0.632142   0.000000   0.133876  54.148743  79.610044   64 -0.811994671E+00   0.000000 -0.103561859E+00  25.025166   8.000290   2.357985   2.399659  0.59E-04  0.61E-03  0.21E+00  0.21E+00
 Fe        2   2.710000   2.710000   2.710000   0.000000   0.000000   0.000000   0.999033   0.000000   0.043976   0.997910   0.000000   0.064616   0.000000   0.000000   0.000000  54.148743  79.610044   64 -0.811830903E+00   0.000000 -0.103036689E+00  25.024609   7.999710   2.371462   2.402993  0.92E-04  0.62E-03  0.21E-01  0.00E+00
# ****************************************************
# SCF Iteration:    6
# S-D Time Step:    1
# ****************************************************
 Fe        1   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   1.000000   0.000000   0.000000   1.000000  -0.913022   0.000000   0.127290  54.148743  79.610044   64 -0.812876477E+00   0.000000 -0.204814317E+00  25.023207   8.000334   2.312491   2.325461  0.24E-04  0.35E-03  0.14E+00  0.14E+00
 Fe        2   2.710000   2.710000   2.710000   0.000000   0.000000   0.000000   0.996919   0.000000   0.078437   0.995746   0.000000   0.092139   0.000000   0.000000   0.000000  54.148743  79.610044   64 -0.812674133E+00   0.000000 -0.206300971E+00  25.022566   7.999666   2.320680   2.329282  0.22E-04  0.33E-03  0.14E-01  0.00E+00
# ****************************************************
# SCF Iteration:    2
# S-D Time Step:    2
# ****************************************************
