# Name of the system
System: Ti

# Different parameters used in calculations of the same system
Variation: 

# Elements in the system (separated by spaces)
Elements: Ti

# Number of atoms in the unit cell corresponding to the elements (separated by spaces)
Numbers: 1

# Energy and volume per atom data (one data point per line)
-1532.64292 31.25
-1476.52509 33.162749999999996
-1553.58304 35.15200000000001
-1566.47613 37.219249999999995
-1555.82438 39.36600000000001
-1620.662068 41.59375
-1571.68774 43.90399999999999
8274.3057 46.29825
-1648.106007 48.778
-1236.5004 51.344750000000005
-1694.815723 54.0
-1694.842592 56.745249999999984
-1694.868369 59.58200000000001
-1694.892705 62.51174999999999
-1694.915363 65.53600000000002
-1694.936175 68.65625
-1694.955022 71.874
-1694.971872 75.19075000000001
-1694.986679 78.60799999999999
-1694.999499 82.12725000000002
